"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 24 11:28:46 GMT 2024","Thu Oct 24 11:29:00 GMT 2024","13285","","UI Project Tests","","ProjectUITest","DeletProjectTest","Удаление проекта","Тест на удаление сущности
Тест на отображения диалогового окна"
"passed","Thu Oct 24 11:28:27 GMT 2024","Thu Oct 24 11:28:31 GMT 2024","3872","","UI Login Tests","","LoginTest","CorrectLoginTest","Вход в систему с передачей верных параметров",""
"passed","Thu Oct 24 11:29:13 GMT 2024","Thu Oct 24 11:29:24 GMT 2024","10615","","UI Project Tests","","ProjectUITest","InvalidDataTest","Недопустимые данные в ключе проекта","Тест на ввод данных превышающих допустимые"
"passed","Thu Oct 24 11:28:07 GMT 2024","Thu Oct 24 11:28:08 GMT 2024","807","","API Authentication Tests","","AuthenticationTests","GetAuthenticationInfoTest","GetAuthenticationInfoTest",""
"passed","Thu Oct 24 11:28:09 GMT 2024","Thu Oct 24 11:28:10 GMT 2024","126","","API TestPlan Tests","","TestPlanTests","GetTestPlaneApiTest","GetTestPlaneApiTest",""
"passed","Thu Oct 24 11:28:08 GMT 2024","Thu Oct 24 11:28:09 GMT 2024","563","","API Project Tests","","ProjectTests","CreateProjectApiTest","CreateProjectApiTest",""
"passed","Thu Oct 24 11:28:09 GMT 2024","Thu Oct 24 11:28:09 GMT 2024","169","","API Project Tests","","ProjectTests","GetProjectApiTest","GetProjectApiTest",""
"passed","Thu Oct 24 11:28:31 GMT 2024","Thu Oct 24 11:28:34 GMT 2024","3366","","UI Login Tests","","LoginTest","IncorrectLoginTest","Вход в систему с передачей неверных параметров","Тест на использование некорректных данных"
"passed","Thu Oct 24 11:29:24 GMT 2024","Thu Oct 24 11:29:36 GMT 2024","11990","","UI Settings Tests","","SettingsTests","UploadAvatarTest","Обновление аватара профеля","Тест на загрузку файла"
"passed","Thu Oct 24 11:28:09 GMT 2024","Thu Oct 24 11:28:09 GMT 2024","161","","API TestPlan Tests","","TestPlanTests","CreateTestPlaneApiTest","CreateTestPlaneApiTest",""
"passed","Thu Oct 24 11:28:09 GMT 2024","Thu Oct 24 11:28:09 GMT 2024","173","","API Project Tests","","ProjectTests","DeleteProjectApiTest","DeleteProjectApiTest",""
"passed","Thu Oct 24 11:28:10 GMT 2024","Thu Oct 24 11:28:10 GMT 2024","141","","API TestPlan Tests","","TestPlanTests","GetTestPlaneInvalidIdApiTest","GetTestPlaneInvalidIdApiTest",""
"passed","Thu Oct 24 11:28:34 GMT 2024","Thu Oct 24 11:28:46 GMT 2024","12333","","UI Project Tests","","ProjectUITest","CreateProjectTest","Создание новго проекта","Тест на создание сущности"
"passed","Thu Oct 24 11:29:00 GMT 2024","Thu Oct 24 11:29:13 GMT 2024","13669","","UI Project Tests","","ProjectUITest","LimitValuesTest","Граничные значения в имени проекта","Тест на проверку поля для ввода на граничные значения"
"failed","Thu Oct 24 11:28:10 GMT 2024","Thu Oct 24 11:28:27 GMT 2024","16698","","UI Dashboard Tests","","DashboardTest","PopupTest","Проверка Popup элемента","Тест на проверку всплывающего сообщения"
"passed","Thu Oct 24 11:28:10 GMT 2024","Thu Oct 24 11:28:10 GMT 2024","161","","API TestPlan Tests","","TestPlanTests","DeleteTestPlaneApiTest","DeleteTestPlaneApiTest",""
"passed","Thu Oct 24 11:28:09 GMT 2024","Thu Oct 24 11:28:09 GMT 2024","134","","API Project Tests","","ProjectTests","UpdateProjectApiTest","UpdateProjectApiTest",""
"passed","Thu Oct 24 11:28:09 GMT 2024","Thu Oct 24 11:28:09 GMT 2024","136","","API Project Tests","","ProjectTests","GetProjectInvalidIdApiTest","GetProjectInvalidIdApiTest",""
